"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"ISSUE","STALE_RELEASE","2798","328402-01_V","THREAD 20/3 148TEX","No BOM","307353","American&Efird, sukanci d.o.","","","55104116","24","ReleaseID","20240412-001","","","","","12/04/2024 00:00:00","12/04/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328402-CU_V","THREAD 20/3 148TEX","No BOM","307353","American&Efird, sukanci d.o.","","","55104116","23","ReleaseID","20240412-001","","","","","12/04/2024 00:00:00","12/04/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328402-L4_V","THREAD 20/3 148TEX","RM","307353","American&Efird, sukanci d.o.","","","55104116","35","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328403-01_V","THREAD 203 148TEXZ","RM","307353","American&Efird, sukanci d.o.","","","55104116","17","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328403-9B_V","THREAD 203 148TEXZ","RM","307353","American&Efird, sukanci d.o.","","","55104116","21","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328403-CU_V","THREAD 203 148TEXZ","RM","307353","American&Efird, sukanci d.o.","","","55104116","16","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328403-L4_V","THREAD 203 148TEXZ","RM","307353","American&Efird, sukanci d.o.","","","55104116","20","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328403-NP_V","THREAD 203 148TEXZ","No BOM","307353","American&Efird, sukanci d.o.","","","55104116","22","ReleaseID","20240412-001","","","","","12/04/2024 00:00:00","12/04/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328403-SG_V","THREAD 203 148TEXZ","RM","307353","American&Efird, sukanci d.o.","","","55104116","18","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","328403-XL_V","THREAD 203 148TEXZ","No BOM","307353","American&Efird, sukanci d.o.","","","55104116","19","ReleaseID","20240412-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
