"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"ISSUE","ORPHANED_SCHEDULE","2798","6571932-20","FB RH","FG","","","SO10029","307","","","TotalScheduledQty","15630.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571933-20","FB LH","FG","","","SO10029","308","","","TotalScheduledQty","79699.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571936-20","FB VENT RH","FG","","","SO10029","309","","","TotalScheduledQty","175906.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571937-20","FB VENT LH","FG","","","SO10029","310","","","TotalScheduledQty","103321.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571938-20","FB RH","FG","","","SO10029","311","","","TotalScheduledQty","21556.0000000000","","","","","16/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571941-20","FB LH","FG","","","SO10029","312","","","TotalScheduledQty","35440.0000000000","","","","","16/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571943-20","FB VENT RH","FG","","","SO10029","313","","","TotalScheduledQty","8861.0000000000","","","","","16/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571944-20","FB VENT LH","FG","","","SO10029","314","","","TotalScheduledQty","14500.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571945-20","FB RH","FG","","","SO10029","315","","","TotalScheduledQty","39930.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571946-20","FB LH","FG","","","SO10029","316","","","TotalScheduledQty","17980.0000000000","","","","","16/12/2025 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571947-20","FB VENT RH","FG","","","SO10029","317","","","TotalScheduledQty","45724.0000000000","","","","","16/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571950-20","FB VENT LH","FG","","","SO10029","318","","","TotalScheduledQty","88787.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571951-20","FB RH","FG","","","SO10029","319","","","TotalScheduledQty","82784.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571952-20","FB LH","FG","","","SO10029","320","","","TotalScheduledQty","136291.0000000000","","","","","16/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571954-20","FB VENT RH","FG","","","SO10029","321","","","TotalScheduledQty","136944.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571955-20","FB VENT LH","FG","","","SO10029","322","","","TotalScheduledQty","225814.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571958-20","FC","FG","","","SO10029","323","","","TotalScheduledQty","35687.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571962-20","FC","FG","","","SO10029","324","","","TotalScheduledQty","95167.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571964-20","FC VENT","FG","","","SO10029","325","","","TotalScheduledQty","279319.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571966-20","FC","FG","","","SO10029","326","","","TotalScheduledQty","57038.0000000000","","","","","16/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571968-20","FC VENT","FG","","","SO10029","327","","","TotalScheduledQty","23290.0000000000","","","","","16/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571970-20","FC","FG","","","SO10029","328","","","TotalScheduledQty","58150.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571972-20","FC VENT","FG","","","SO10029","329","","","TotalScheduledQty","134481.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6571974-20","FC","FG","","","SO10029","330","","","TotalScheduledQty","581685.0000000000","","","","","11/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635485-1A19-000","ROHR LUGANO ECE 241A","FG","","","SO10015","64","","","TotalScheduledQty","89205.0000000000","","","","","10/12/2025 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635485-6C83-000","ROHR LUGANO ECE 241A","FG","","","SO10015","65","","","TotalScheduledQty","168981.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635491-1A19-000","ROHR LUGANO 2NA/KOR 241A","FG","","","SO10015","66","","","TotalScheduledQty","33155.0000000000","","","","","31/12/2025 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635491-6C83-000","ROHR LUGANO 2NA/KOR 241A","FG","","","SO10015","67","","","TotalScheduledQty","40848.0000000000","","","","","10/12/2025 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635495-1A19-000","HR RS OB ART 2 LUGANO","FG","","","SO10015","88","","","TotalScheduledQty","30682.0000000000","","","","","28/01/2026 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635495-1A19-000","HR RS OB ART 2 LUGANO","FG","","","SO10022","54","","","TotalScheduledQty","42849.0000000000","","","","","26/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635495-6C83-000","HR RS OB ART 2 LUGANO","FG","","","SO10015","87","","","TotalScheduledQty","60996.0000000000","","","","","31/12/2025 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635495-6C83-000","HR RS OB ART 2 LUGANO","FG","","","SO10022","74","","","TotalScheduledQty","54146.0000000000","","","","","15/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635498-1A19-000","HR RS OB ART LUGANO","FG","","","SO10022","59","","","TotalScheduledQty","6900.0000000000","","","","","23/01/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635498-6C83-000","HR RS OB ART LUGANO","FG","","","SO10022","71","","","TotalScheduledQty","7544.0000000000","","","","","01/05/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635504-1A19-000","RCHR LUGANO 2 ECE  241A","FG","","","SO10015","60","","","TotalScheduledQty","60522.0000000000","","","","","16/12/2025 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635504-1A19-000","RCHR LUGANO 2 ECE  241A","FG","","","SO10022","35","","","TotalScheduledQty","21186.0000000000","","","","","05/01/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635504-6C83-000","RCHR LUGANO 2 ECE  241A","FG","","","SO10015","61","","","TotalScheduledQty","113421.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635504-6C83-000","RCHR LUGANO 2 ECE  241A","FG","","","SO10022","34","","","TotalScheduledQty","26675.0000000000","","","","","19/12/2025 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635506-1A19-000","RCHR LUGANO 2 NA  241A","FG","","","SO10015","62","","","TotalScheduledQty","15351.0000000000","","","","","31/12/2025 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635506-1A19-000","RCHR LUGANO 2 NA  241A","FG","","","SO10022","43","","","TotalScheduledQty","3612.0000000000","","","","","27/02/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635506-6C83-000","RCHR LUGANO 2 NA  241A","FG","","","SO10015","63","","","TotalScheduledQty","21084.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635506-6C83-000","RCHR LUGANO 2 NA  241A","FG","","","SO10022","42","","","TotalScheduledQty","3675.0000000000","","","","","01/05/2026 00:00:00","25/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635509-1A19-000","RCHR LUGANO 2 KOR  241A","FG","","","SO10015","58","","","TotalScheduledQty","420.0000000000","","","","","02/09/2026 00:00:00","28/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6635509-6C83-000","RCHR LUGANO 2 KOR  241A","FG","","","SO10015","59","","","TotalScheduledQty","1407.0000000000","","","","","28/01/2026 00:00:00","29/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6637152-1D98-000","MAL PVC NAPPA 681A","FG","","","SO10015","78","","","TotalScheduledQty","514032.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6637152-3F60-000","MAL PVC NAPPA 681A","FG","","","SO10015","77","","","TotalScheduledQty","456184.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6637152-9K21-000","MAL PVC NAPPA 681A","FG","","","SO10015","76","","","TotalScheduledQty","2468472.0000000000","","","","","10/12/2025 00:00:00","23/12/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6697823-YC-1","HEADREST 4W GS MCA","FG","","","SO10016","9","","","TotalScheduledQty","82980.0000000000","","","","","11/12/2025 00:00:00","16/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6725048-1D14-PUR","TRIM COV FES EL W PILLOW","FG","","","SO10006","161","","","TotalScheduledQty","324.0000000000","","","","","01/06/2026 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6725048-8AE6-PUR","TRIM COV FES EL W PILLOW","FG","","","SO10006","160","","","TotalScheduledQty","2916.0000000000","","","","","06/04/2026 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6725048-9K21-PUR","TRIM CVR FES EL W PILLOW","FG","","","SO10006","187","","","TotalScheduledQty","63.0000000000","","","","","01/06/2026 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6767548-20","FB LUX BELT HA SHIELD RH","FG","","","SO10029","303","","","TotalScheduledQty","1380.0000000000","","","","","31/12/2025 00:00:00","09/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6767549-20","FB LUX BELT HA SHIELD LH","FG","","","SO10029","304","","","TotalScheduledQty","1374.0000000000","","","","","19/01/2026 00:00:00","02/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6794922-C3H","A/R RB","FG","2165","","SO10013","7","","","TotalScheduledQty","6.0000000000","","","","","15/12/2025 00:00:00","15/12/2025 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6794922-CYX","A/R RB","FG","2165","","SO10013","8","","","TotalScheduledQty","2.0000000000","","","","","15/12/2025 00:00:00","15/12/2025 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6794922-CZZ","A/R RB","FG","2165","","SO10013","9","","","TotalScheduledQty","99994.0000000000","","","","","15/12/2025 00:00:00","20/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6824705","FHR V216 INDIGO","FG","","","SO10004","40","","","TotalScheduledQty","863826.0000000000","","","","","10/12/2025 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857509-7S15-PUR","Trim CVR FHR BR223","FG","","","SO10006","177","","","TotalScheduledQty","1312.0000000000","","","","","02/02/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857510-8AB4-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","178","","","TotalScheduledQty","7672.0000000000","","","","","12/01/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857510-8AM9-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","179","","","TotalScheduledQty","78060.0000000000","","","","","12/01/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857510-9L19-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","180","","","TotalScheduledQty","3375.0000000000","","","","","12/01/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857512-8AB4-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","170","","","TotalScheduledQty","561.0000000000","","","","","02/03/2026 00:00:00","22/02/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857512-8AM9-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","171","","","TotalScheduledQty","1164.0000000000","","","","","12/12/2025 00:00:00","29/03/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857514-8AB4-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","181","","","TotalScheduledQty","9670.0000000000","","","","","12/01/2026 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857514-8AM9-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","182","","","TotalScheduledQty","63280.0000000000","","","","","12/01/2026 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857514-9L19-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","183","","","TotalScheduledQty","11330.0000000000","","","","","12/01/2026 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857516-8AB4-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","166","","","TotalScheduledQty","3610.0000000000","","","","","02/03/2026 00:00:00","29/03/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857516-8AM9-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","167","","","TotalScheduledQty","4715.0000000000","","","","","12/12/2025 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6857516-9L19-PUR","BR223 MOPF VINYL LUGANO","FG","","","SO10006","168","","","TotalScheduledQty","1853.0000000000","","","","","12/01/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6878574-CARM","V526 ROHR AGNES","FG","2109","","SO10005","124","","","TotalScheduledQty","1081205.0000000000","","","","","10/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6878575-CARM","V526 ROHR AGNES","FG","2109","","SO10005","123","","","TotalScheduledQty","1080786.0000000000","","","","","10/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6888077-AA","REAR ARMREST BRACKET","FG","","","SO10023","6","","","TotalScheduledQty","189432.0000000000","","","","","11/12/2025 00:00:00","07/05/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6903371-Z","FB BOSE RH SV5 TRIM","FG","","","SO10028","106","","","TotalScheduledQty","716.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6903372-Z","FB BOSE LH SV5 TRIM","FG","","","SO10028","108","","","TotalScheduledQty","708.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6903373-Z","FC 6 WAY RH SV5 TRIM","FG","","","SO10028","107","","","TotalScheduledQty","716.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6903374-Z","FC 6 WAY LH SV5 TRIM","FG","","","SO10028","109","","","TotalScheduledQty","708.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6903375-Z","RB 40% SV5 TRIM","FG","","","SO10028","113","","","TotalScheduledQty","716.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6903376-Z","RB 60% 1TT SV5 TRIM","FG","","","SO10028","111","","","TotalScheduledQty","716.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6903378-Z","RCB SV5 TRIM","FG","","","SO10028","110","","","TotalScheduledQty","700.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6930073-C68-LOZ","RHR CENTER BREEZE","FG","2171","","SO10030","1","","","TotalScheduledQty","5508.0000000000","","","","","12/12/2025 00:00:00","30/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6930313-C68-LOZ","RHR OUTER BREEZE","FG","2171","","SO10030","2","","","TotalScheduledQty","11304.0000000000","","","","","12/12/2025 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6930319-C69-LOZ","RHR CENTER INDIGO","FG","2171","","SO10030","3","","","TotalScheduledQty","217188.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6930326-C69-LOZ","RHR OUTER INDIGO","FG","2171","","SO10030","4","","","TotalScheduledQty","434016.0000000000","","","","","12/12/2025 00:00:00","30/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6930339-06W-LOZ","RHR OUTER MIST","FG","2171","","SO10030","5","","","TotalScheduledQty","22248.0000000000","","","","","05/01/2026 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6930342-06W-LOZ","RHR CENTER MIST","FG","2171","","SO10030","6","","","TotalScheduledQty","10908.0000000000","","","","","12/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6930344-C71-LOZ","RHR OUTER PINE","FG","2171","","SO10030","7","","","TotalScheduledQty","23472.0000000000","","","","","12/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6930347-C71-LOZ","RHR CENTER PINE","FG","2171","","SO10030","8","","","TotalScheduledQty","12204.0000000000","","","","","12/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6932516","FHR V216 BREEZE","FG","","","SO10004","43","","","TotalScheduledQty","64272.0000000000","","","","","10/12/2025 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6932520","FHR V216 MIST","FG","","","SO10004","42","","","TotalScheduledQty","47496.0000000000","","","","","10/12/2025 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","6932528","FHR V216 PINE","FG","","","SO10004","41","","","TotalScheduledQty","120834.0000000000","","","","","10/12/2025 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018670-BLON","RARM HS LTH MORITZ","No BOM","2109","","SO10004","49","","","TotalScheduledQty","7310.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018670-CHAC","RARM Moritz Chac","No BOM","2109","","SO10004","48","","","TotalScheduledQty","29568.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018670-MARO","RARM HS LTH MORITZ","No BOM","2109","","SO10004","50","","","TotalScheduledQty","1443.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018679-BLON","RARM TEX SPORT UNI","No BOM","2109","","SO10004","30","","","TotalScheduledQty","356.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018679-CHAC","RARM TEX SPORT UNI","No BOM","2109","","SO10004","29","","","TotalScheduledQty","6000.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018679-CHAC","RARM TEX SPORT UNI","No BOM","2109","","SO10005","129","","","TotalScheduledQty","66104.0000000000","","","","","10/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018700-AMBE","RARM Agnes","No BOM","2109","","SO10004","37","","","TotalScheduledQty","18882.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018700-BLON","RARM Agnes","No BOM","2109","","SO10004","35","","","TotalScheduledQty","9998.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018700-BLON","RARM Agnes","No BOM","2109","","SO10005","135","","","TotalScheduledQty","352656.0000000000","","","","","10/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018700-CHAC","RARM Agnes","No BOM","2109","","SO10004","34","","","TotalScheduledQty","10992.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018700-CHAC","RARM Agnes","No BOM","2109","","SO10005","134","","","TotalScheduledQty","790033.0000000000","","","","","10/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018700-MARO","RARM Agnes","No BOM","2109","","SO10004","36","","","TotalScheduledQty","1062.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018703-CHAC","RARM Agnes R-Design","No BOM","2109","","SO10004","38","","","TotalScheduledQty","13915.0000000000","","","","","15/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018703-CHAC","RARM Agnes R-Design","No BOM","2109","","SO10005","138","","","TotalScheduledQty","345151.0000000000","","","","","10/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018800-CARM","RARM Vinyl","No BOM","2109","","SO10005","145","","","TotalScheduledQty","400343.0000000000","","","","","10/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018800-CHAC","RARM Vinyl","No BOM","2109","","SO10005","144","","","TotalScheduledQty","679086.0000000000","","","","","10/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7018802-GRAP","RARM TEXTILE GRAPHITE","No BOM","2109","","SO10005","143","","","TotalScheduledQty","55291.0000000000","","","","","10/12/2025 00:00:00","28/09/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7023406-Z","RB 40% RH","FG","","","SO10028","153","","","TotalScheduledQty","12936.0000000000","","","","","15/12/2025 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7023407-Z","RB 60% ARM LH","FG","","","SO10028","154","","","TotalScheduledQty","12932.0000000000","","","","","15/12/2025 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7023409-Z","FC 6 WAY RH","FG","","","SO10028","156","","","TotalScheduledQty","240.0000000000","","","","","15/12/2025 00:00:00","15/12/2025 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","7023413-Z","FB AB PWR MAN PASS RH","FG","","","SO10028","159","","","TotalScheduledQty","240.0000000000","","","","","15/12/2025 00:00:00","15/12/2025 00:00:00","Create PO line or deactivate schedule"
